H3K4me3	H3K36me3	H3K9me3
0	0	0
0	0	0
0	0	1
1	2	4
0	1	3
0	0	4
0	1	5
0	0	2
0	0	0
0	0	1
0	0	17
0	1	3
0	0	4
0	1	6
0	0	5
0	0	9
0	0	6
0	0	4
0	0	3
0	0	1
0	0	2
1	2	6
0	0	9
0	0	3
0	1	2
1	0	5
0	2	5
0	1	5
0	0	0
0	0	2
0	0	8
3	0	6
0	0	1
0	0	5
0	2	5
0	1	5
1	1	4
0	0	8
0	2	6
0	0	9
0	0	5
0	0	3
0	0	0
0	0	0
0	1	5
0	2	4
0	1	7
0	0	3
0	2	2
0	2	3
0	1	3
0	1	3
0	0	6
1	0	1
0	0	2
0	1	2
0	0	1
0	0	0
0	0	1
2	0	4
0	1	3
1	2	3
0	0	0
2	0	1
0	1	2
1	0	2
0	0	6
0	2	4
0	0	2
0	1	1
0	0	0
0	0	2
0	1	4
1	0	3
0	1	3
0	1	9
0	2	9
0	2	2
1	1	14
0	1	6
0	0	7
0	0	2
0	0	2
0	0	2
0	1	0
0	2	1
1	0	0
0	0	3
1	0	3
0	0	0
0	5	5
0	2	6
0	2	11
0	0	3
0	0	2
0	0	0
1	0	5
0	0	6
0	1	6
0	1	2
0	1	2
0	1	1
0	1	1
0	0	1
0	0	0
0	2	2
1	0	1
0	0	0
0	0	2
0	0	2
0	0	3
0	2	1
0	1	6
0	0	2
1	0	1
0	0	5
0	0	0
0	0	5
0	0	2
0	0	1
1	1	3
2	0	10
0	4	6
0	1	2
0	0	0
0	1	1
1	0	2
0	0	0
0	3	7
0	0	1
0	3	3
0	0	1
2	3	5
1	1	12
1	4	21
4	2	10
5	3	8
8	2	6
11	0	5
7	3	8
7	3	7
1	0	3
1	0	1
0	0	4
0	0	3
0	2	3
0	1	0
0	0	0
0	0	5
0	1	1
0	0	0
0	1	0
1	0	2
1	0	4
0	1	10
0	2	6
0	1	3
0	0	1
0	0	0
0	1	4
0	0	4
0	0	0
0	0	11
0	2	3
0	0	3
0	0	0
0	0	2
0	1	4
0	2	7
0	5	4
0	1	2
0	3	4
0	1	0
0	0	4
0	0	5
0	1	2
0	1	1
0	0	4
0	1	5
0	1	2
0	1	8
